,tpep_pickup_datetime,pickup_longitude,pickup_latitude,in_lat,in_lon
2806464,2016-02-10 19:57:51,-74.00486755371094,40.71876907348633,True,True
2806480,2016-02-10 19:57:54,-74.00758361816406,40.72568893432617,True,True
2806489,2016-02-10 19:57:55,-74.00788116455078,40.723411560058594,True,True
2806504,2016-02-10 19:57:57,-74.00530242919923,40.720680236816406,True,True
2806539,2016-02-10 19:58:01,-74.00895690917969,40.717864990234375,True,True
2806549,2016-02-10 19:58:02,-74.00349426269531,40.723731994628906,True,True
2806576,2016-02-10 19:58:05,-74.00849151611328,40.7191276550293,True,True
2806684,2016-02-10 19:58:18,-74.010009765625,40.72050476074219,True,True
2806695,2016-02-10 19:58:20,-74.00819396972656,40.71453857421875,True,True
2806771,2016-02-10 19:58:31,-74.00296783447266,40.72331619262695,True,True
2806825,2016-02-10 19:58:38,-74.00833892822266,40.72106552124024,True,True
2806832,2016-02-10 19:58:39,-74.00891876220702,40.71533966064453,True,True
2806843,2016-02-10 19:58:41,-74.00391387939453,40.71802520751953,True,True
2806872,2016-02-10 19:58:45,-74.0027847290039,40.718040466308594,True,True
2806916,2016-02-10 19:58:52,-74.00377655029298,40.725601196289055,True,True
2806919,2016-02-10 19:58:52,-74.00794982910156,40.72305679321289,True,True
2806988,2016-02-10 19:59:03,-74.0095977783203,40.72050094604492,True,True
2807000,2016-02-10 19:59:05,-74.00382995605469,40.72235107421875,True,True
2807009,2016-02-10 19:59:06,-74.00577545166014,40.720123291015625,True,True
2807020,2016-02-10 19:59:07,-74.00984191894531,40.72100830078125,True,True
2807021,2016-02-10 19:59:07,-74.005126953125,40.71879959106445,True,True
2807053,2016-02-10 19:59:11,-74.01119995117188,40.71585083007813,True,True
2807085,2016-02-10 19:59:15,-74.00445556640625,40.72554016113281,True,True
2807122,2016-02-10 19:59:21,-74.00697326660156,40.71836853027344,True,True
2807141,2016-02-10 19:59:24,-74.0051498413086,40.71911239624024,True,True
2807220,2016-02-10 19:59:35,-74.0048599243164,40.72351837158203,True,True
2807243,2016-02-10 19:59:38,-74.0082015991211,40.71675109863281,True,True
2807355,2016-02-10 19:59:53,-74.00396728515625,40.72581100463867,True,True
2807366,2016-02-10 19:59:55,-74.00398254394531,40.72554397583008,True,True
2807370,2016-02-10 19:59:56,-74.00859069824219,40.7207145690918,True,True
2807415,2016-02-10 20:00:03,-74.00871276855469,40.71604537963867,True,True
2807418,2016-02-10 20:00:03,-74.00835418701173,40.71676254272461,True,True
2807434,2016-02-10 20:00:05,-74.00901794433594,40.71622848510742,True,True
2807478,2016-02-10 20:00:12,-74.00519561767578,40.7202262878418,True,True
2807547,2016-02-10 20:00:23,-74.00554656982422,40.71779251098633,True,True
2807554,2016-02-10 20:00:24,-74.00285339355469,40.72338104248047,True,True
2807641,2016-02-10 20:00:36,-74.00856018066406,40.71990966796875,True,True
2807723,2016-02-10 20:00:52,-74.00945281982422,40.71525192260742,True,True
2807811,2016-02-10 20:01:04,-74.00997161865234,40.72148895263672,True,True
2807822,2016-02-10 20:01:05,-74.00811767578125,40.7229118347168,True,True
2807836,2016-02-10 20:01:07,-74.0037384033203,40.725410461425774,True,True
2807843,2016-02-10 20:01:08,-74.00200653076173,40.72134017944336,True,True
2807853,2016-02-10 20:01:10,-74.01007080078125,40.72019958496094,True,True
2807857,2016-02-10 20:01:11,-74.00789642333984,40.71686553955078,True,True
2807888,2016-02-10 20:01:14,-74.00390625,40.72553253173828,True,True
2807944,2016-02-10 20:01:21,-74.0033950805664,40.723548889160156,True,True
2807982,2016-02-10 20:01:27,-74.00652313232422,40.71663284301758,True,True
2808047,2016-02-10 20:01:36,-74.00251770019531,40.714351654052734,True,True
2808118,2016-02-10 20:01:45,-74.00611877441406,40.714221954345696,True,True
2808152,2016-02-10 20:01:49,-74.00547790527344,40.72369384765625,True,True
2808356,2016-02-10 20:02:18,-74.00457000732422,40.724422454833984,True,True
2808364,2016-02-10 20:02:19,-74.00657653808594,40.72256088256836,True,True
2808380,2016-02-10 20:02:22,-74.00518035888672,40.71920776367188,True,True
2808431,2016-02-10 20:02:29,-74.00940704345702,40.71561050415039,True,True
2808457,2016-02-10 20:02:34,-74.00485229492188,40.721038818359375,True,True
2808465,2016-02-10 20:02:35,-74.00804901123048,40.71489334106445,True,True
2808529,2016-02-10 20:02:46,-74.00198364257811,40.72452926635742,True,True
2808544,2016-02-10 20:02:48,-74.00436401367188,40.71636199951172,True,True
2808581,2016-02-10 20:02:54,-74.00514221191406,40.72552490234375,True,True
2808614,2016-02-10 20:02:58,-74.00267028808594,40.7249412536621,True,True
2808701,2016-02-10 20:03:07,-74.01018524169923,40.71967697143555,True,True
2808730,2016-02-10 20:03:11,-74.0099868774414,40.71957778930664,True,True
2808954,2016-02-10 20:03:41,-74.004638671875,40.71491622924805,True,True
2808975,2016-02-10 20:03:43,-74.01116943359375,40.71565628051758,True,True
2809014,2016-02-10 20:03:48,-74.0078582763672,40.71508026123047,True,True
2809036,2016-02-10 20:03:51,-74.01302337646483,40.71526336669922,True,True
2809037,2016-02-10 20:03:51,-74.00750732421875,40.71770858764648,True,True
2809117,2016-02-10 20:03:59,-74.00454711914062,40.72151184082031,True,True
2809127,2016-02-10 20:04:01,-74.00999450683594,40.72090530395508,True,True
2809169,2016-02-10 20:04:07,-74.0113296508789,40.71574783325195,True,True
2809180,2016-02-10 20:04:08,-74.0025863647461,40.72488021850585,True,True
2809216,2016-02-10 20:04:12,-74.00772094726562,40.71629333496094,True,True
2809390,2016-02-10 20:04:36,-74.00741577148438,40.71556091308594,True,True
2809410,2016-02-10 20:04:39,-74.00348663330078,40.71903610229492,True,True
2809437,2016-02-10 20:04:42,-74.00863647460938,40.71925735473633,True,True
2809551,2016-02-10 20:04:56,-74.00386810302734,40.7256088256836,True,True
2809681,2016-02-10 20:05:14,-74.00399780273438,40.72532272338867,True,True
2809687,2016-02-10 20:05:15,-74.00792694091797,40.723457336425774,True,True
2809690,2016-02-10 20:05:15,-74.00921630859375,40.71543884277344,True,True
2809701,2016-02-10 20:05:16,-74.00274658203125,40.72192001342773,True,True
2809828,2016-02-10 20:05:36,-74.01020812988281,40.7193603515625,True,True
2809861,2016-02-10 20:05:42,-74.00762176513672,40.71562957763672,True,True
2810048,2016-02-10 20:06:07,-74.00949096679686,40.72462844848633,True,True
2810105,2016-02-10 20:06:15,-74.00485229492188,40.723087310791016,True,True
2810106,2016-02-10 20:06:15,-74.00897216796875,40.71577835083008,True,True
2810136,2016-02-10 20:06:21,-74.00985717773438,40.72057723999024,True,True
2810230,2016-02-10 20:06:34,-74.00503540039062,40.718994140625,True,True
2810378,2016-02-10 20:06:56,-74.005615234375,40.72567367553711,True,True
2810453,2016-02-10 20:07:05,-74.00210571289062,40.72441101074219,True,True
2810484,2016-02-10 20:07:09,-74.0051498413086,40.71914291381836,True,True
2810531,2016-02-10 20:07:14,-74.00245666503906,40.71876907348633,True,True
2810548,2016-02-10 20:07:18,-74.00807189941406,40.71459197998047,True,True
2810565,2016-02-10 20:07:19,-74.00762939453125,40.71569061279297,True,True
2810618,2016-02-10 20:07:27,-74.00965118408203,40.72145080566406,True,True
2810689,2016-02-10 20:07:40,-74.00208282470702,40.71958541870117,True,True
2810720,2016-02-10 20:07:43,-74.01007080078125,40.7199592590332,True,True
2810742,2016-02-10 20:07:45,-74.00749969482422,40.72517013549805,True,True
2810750,2016-02-10 20:07:46,-74.00519561767578,40.72126770019531,True,True
2810760,2016-02-10 20:07:47,-74.00406646728516,40.725341796875,True,True
2810839,2016-02-10 20:07:58,-74.00774383544923,40.717140197753906,True,True
2810854,2016-02-10 20:07:59,-74.004150390625,40.72573852539063,True,True
2810881,2016-02-10 20:08:03,-74.00558471679686,40.71468353271485,True,True
2810919,2016-02-10 20:08:07,-74.00516510009766,40.71916961669922,True,True
2810937,2016-02-10 20:08:09,-74.00511932373048,40.71918487548828,True,True
2810977,2016-02-10 20:08:14,-74.00392913818358,40.72573852539063,True,True
2811067,2016-02-10 20:08:26,-74.0042266845703,40.72193908691406,True,True
2811085,2016-02-10 20:08:28,-74.00559234619139,40.7256088256836,True,True
2811139,2016-02-10 20:08:36,-74.00843048095702,40.71438217163085,True,True
2811163,2016-02-10 20:08:39,-74.00444030761719,40.724475860595696,True,True
2811203,2016-02-10 20:08:44,-74.00914001464844,40.71622848510742,True,True
2811251,2016-02-10 20:08:51,-74.00460052490234,40.72382736206055,True,True
2811264,2016-02-10 20:08:53,-74.0101318359375,40.71964645385742,True,True
2811266,2016-02-10 20:08:53,-74.00511169433594,40.71892166137695,True,True
2811278,2016-02-10 20:08:54,-74.00484466552734,40.723541259765625,True,True
2811319,2016-02-10 20:08:59,-74.0020980834961,40.71955490112305,True,True
2811402,2016-02-10 20:09:11,-74.00653076171875,40.7166862487793,True,True
2811416,2016-02-10 20:09:12,-74.00376892089844,40.7192611694336,True,True
2811483,2016-02-10 20:09:22,-74.0038070678711,40.72245788574219,True,True
2811498,2016-02-10 20:09:24,-74.005126953125,40.720008850097656,True,True
2811502,2016-02-10 20:09:25,-74.00277709960938,40.71423721313477,True,True
2811527,2016-02-10 20:09:28,-74.0076904296875,40.72477722167969,True,True
2811552,2016-02-10 20:09:31,-74.00692749023438,40.72050094604492,True,True
2811718,2016-02-10 20:09:56,-74.00556945800781,40.72210311889648,True,True
2811720,2016-02-10 20:09:56,-74.01004791259766,40.71806716918945,True,True
2811813,2016-02-10 20:10:08,-74.00497436523438,40.72316360473633,True,True
2811834,2016-02-10 20:10:10,-74.00863647460938,40.719818115234375,True,True
2811856,2016-02-10 20:10:13,-74.00392913818358,40.72336196899415,True,True
2811871,2016-02-10 20:10:14,-74.00993347167969,40.720947265625,True,True
2811906,2016-02-10 20:10:20,-74.00900268554686,40.71669387817383,True,True
2811912,2016-02-10 20:10:21,-74.0046615600586,40.72370147705078,True,True
2811956,2016-02-10 20:10:26,-74.00249481201173,40.72392272949219,True,True
2811988,2016-02-10 20:10:31,-74.00791931152342,40.723411560058594,True,True
2812010,2016-02-10 20:10:35,-74.0054702758789,40.72556686401367,True,True
2812033,2016-02-10 20:10:37,-74.00379180908203,40.7169189453125,True,True
2812073,2016-02-10 20:10:43,-74.00849914550781,40.72195816040039,True,True
2812093,2016-02-10 20:10:45,-74.00867462158203,40.7196044921875,True,True
2812095,2016-02-10 20:10:45,-74.0101089477539,40.72054290771485,True,True
2812100,2016-02-10 20:10:46,-74.00984954833984,40.72099685668945,True,True
2812114,2016-02-10 20:10:48,-74.00901794433594,40.71666717529297,True,True
2812171,2016-02-10 20:10:56,-74.00969696044923,40.72048568725585,True,True
2812216,2016-02-10 20:11:02,-74.00501251220702,40.718666076660156,True,True
2812299,2016-02-10 20:11:15,-74.00518798828125,40.71873474121094,True,True
2812484,2016-02-10 20:11:39,-74.00822448730467,40.71457290649415,True,True
2812521,2016-02-10 20:11:45,-74.00521850585938,40.72000122070313,True,True
2812534,2016-02-10 20:11:48,-74.00399017333984,40.72564697265625,True,True
2812586,2016-02-10 20:11:57,-74.00516510009766,40.720062255859375,True,True
2812587,2016-02-10 20:11:57,-74.00754547119139,40.71554565429688,True,True
2812588,2016-02-10 20:11:57,-74.00605773925781,40.714881896972656,True,True
2812639,2016-02-10 20:12:05,-74.0051040649414,40.72056579589844,True,True
2812682,2016-02-10 20:12:09,-74.0069808959961,40.716041564941406,True,True
2812684,2016-02-10 20:12:09,-74.0038833618164,40.72541809082031,True,True
2812722,2016-02-10 20:12:15,-74.00927734375,40.71535110473633,True,True
2812787,2016-02-10 20:12:23,-74.00540161132812,40.720252990722656,True,True
2812798,2016-02-10 20:12:25,-74.0074920654297,40.71772003173828,True,True
2812808,2016-02-10 20:12:26,-74.01299285888672,40.715984344482415,True,True
2812810,2016-02-10 20:12:26,-74.00578308105469,40.72558975219727,True,True
2812837,2016-02-10 20:12:30,-74.00535583496094,40.72016906738281,True,True
2812838,2016-02-10 20:12:30,-74.00735473632812,40.7146873474121,True,True
2812850,2016-02-10 20:12:32,-74.00886535644531,40.715965270996094,True,True
2812851,2016-02-10 20:12:32,-74.00983428955078,40.720951080322266,True,True
2812883,2016-02-10 20:12:37,-74.01018524169923,40.71918869018555,True,True
2812925,2016-02-10 20:12:41,-74.00444030761719,40.71944808959961,True,True
2812930,2016-02-10 20:12:42,-74.0074920654297,40.72578430175781,True,True
2813071,2016-02-10 20:13:03,-74.00843811035155,40.71977615356445,True,True
2813114,2016-02-10 20:13:10,-74.00848388671875,40.71588516235352,True,True
2813121,2016-02-10 20:13:11,-74.00547790527344,40.72014999389648,True,True
2813191,2016-02-10 20:13:22,-74.00991821289062,40.72077560424805,True,True
2813235,2016-02-10 20:13:27,-74.00511932373048,40.71908950805664,True,True
2813268,2016-02-10 20:13:33,-74.0043411254883,40.71961212158203,True,True
2813316,2016-02-10 20:13:41,-74.00576782226562,40.72572708129883,True,True
2813321,2016-02-10 20:13:41,-74.0086212158203,40.72011947631836,True,True
2813350,2016-02-10 20:13:47,-74.01197814941406,40.71601104736328,True,True
2813376,2016-02-10 20:13:50,-74.00926971435547,40.716304779052734,True,True
2813425,2016-02-10 20:13:57,-74.00879669189453,40.7191162109375,True,True
2813437,2016-02-10 20:13:58,-74.008544921875,40.72275924682617,True,True
2813445,2016-02-10 20:14:00,-74.00628662109375,40.71677780151367,True,True
2813490,2016-02-10 20:14:06,-74.00423431396483,40.725341796875,True,True
